Student ID,First name,Middle initial,Last name,Status,Student Type
12345668,John,F,nevermind,Active,UNDERGRADUATE
U124,Simon,C,Wu,Active,GRADUATE
1443243,Alice,H,Bob,Active,UNDERGRADUATE
U7362,Cheng,jun,Wu,Active,GRADUATE
Iuuu345,Tony,C,LoveJava,Active,GRADUATE
BU,MIT,BC,Harvard,Active,UNDERGRADUATE
67,Dont,DoHW,wanna,Active,UNDERGRADUATE
354,Neither,wanna,DoProject,Active,UNDERGRADUATE
888,But,haveTo,Do,Active,UNDERGRADUATE
425,Simon,S,Pain,Active,UNDERGRADUATE
U125,Blair,C,leon,Active,UNDERGRADUATE
9870,Cant,ComeUpWith,MoreName,Active,UNDERGRADUATE
U03,Can,SomeOne,HelpMe,Active,UNDERGRADUATE
932,Ok,think,enough,Active,UNDERGRADUATE
15students,15students,15students,15students,Active,GRADUATE
